EmployeeID,PerformanceScore,CurrentEmployeeRating,SurveyDate,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,Training_Date,Training_ProgramName,Training_Type,Training_Outcome,Training_Location,Training_Trainer,Training_DurationDays,Training_Cost
3427,Fully Meets,4,2023-01-14,1,2,3,2023-07-15,Leadership Development,Internal,Failed,South Marisa,Taylor Rodriguez,2,606.11
3428,Fully Meets,3,2022-09-09,2,1,5,2022-09-12,Customer Service,External,Incomplete,Tammieville,Kelly Patterson DDS,4,673.02
3429,Fully Meets,4,2023-05-27,1,2,1,2022-08-13,Leadership Development,External,Failed,East Roberthaven,Taylor Thomas,2,413.28
3430,Fully Meets,2,2023-06-16,5,5,4,2022-12-15,Project Management,External,Completed,Garzatown,Holly Elliott,3,663.78
3431,Fully Meets,3,2022-11-25,2,5,3,2023-07-13,Technical Skills,External,Failed,Lake Meganville,Donald Martinez,5,399.03
3432,Fully Meets,3,2022-12-12,2,3,5,2023-04-18,Project Management,Internal,Passed,Kingchester,Holly Sloan,2,820.33
3433,Exceeds,4,2023-03-25,1,5,2,2022-08-06,Customer Service,External,Passed,Lancehaven,David Stewart,5,295.08
3434,Fully Meets,2,2023-04-21,1,4,2,2022-10-07,Leadership Development,Internal,Passed,Jeremyshire,Stephanie Garza,3,790.15
3435,Exceeds,3,2022-12-09,4,3,3,2023-07-19,Customer Service,Internal,Passed,West Randall,John Brown,3,798.4
3436,Fully Meets,5,2023-07-30,5,5,2,2023-04-09,Leadership Development,Internal,Failed,Nicolebury,Megan Wilson,5,192.61
3437,Fully Meets,5,2022-10-15,3,2,5,2022-10-20,Technical Skills,Internal,Failed,Jenniferhaven,Mrs. Valerie Brown,1,455.68
3438,Fully Meets,3,2022-10-28,4,2,5,2022-10-05,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17
3439,Fully Meets,3,2022-10-30,1,2,5,2023-03-09,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07
3440,Fully Meets,3,2022-09-24,1,4,5,2023-05-29,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03
3441,Exceeds,4,2022-10-30,4,2,5,2023-01-08,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2
3442,Exceeds,2,2022-10-31,2,5,3,2023-03-06,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87
3443,Fully Meets,3,2023-04-29,2,2,4,2023-02-18,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13
3444,Fully Meets,3,2022-12-14,1,2,4,2022-11-02,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84
3445,Exceeds,4,2023-05-07,4,5,2,2023-07-14,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64
3446,Exceeds,2,2023-05-21,4,3,5,2022-12-11,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13
3447,Fully Meets,3,2023-05-08,5,1,4,2023-04-02,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21
3448,Fully Meets,3,2023-03-28,5,1,5,2023-05-16,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05
3449,Fully Meets,5,2023-06-30,3,2,1,2022-10-02,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21
3450,Exceeds,2,2023-01-18,4,3,5,2023-01-12,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07
3451,Exceeds,3,2023-04-29,5,1,2,2023-03-22,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97
3452,Fully Meets,2,2023-01-19,5,5,2,2022-09-13,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04
3453,Fully Meets,4,2022-09-17,5,5,3,2022-08-25,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44
3454,Needs Improvement,4,2023-03-14,4,4,2,2023-02-07,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9
3455,Exceeds,4,2022-08-12,2,1,1,2023-03-17,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41
3456,Fully Meets,3,2023-03-30,4,3,4,2023-06-08,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82
3457,Needs Improvement,3,2023-04-21,5,1,4,2023-04-15,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73
3458,Needs Improvement,3,2023-02-14,2,5,5,2022-12-02,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27
3459,Exceeds,2,2022-10-26,4,4,3,2023-06-14,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32
3460,Fully Meets,3,2022-11-16,4,3,3,2023-07-08,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52
3461,Needs Improvement,1,2023-04-24,1,4,4,2023-01-05,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43
3462,Needs Improvement,3,2022-11-08,3,3,1,2023-07-19,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01
3463,Fully Meets,1,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19
3464,Needs Improvement,5,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47
3465,Needs Improvement,3,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1
3466,Exceeds,4,2023-08-04,1,3,4,2022-12-07,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66
3467,Exceeds,1,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7
3468,Fully Meets,4,2023-02-05,3,1,3,2023-05-10,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63
3469,Needs Improvement,3,2023-08-01,5,5,1,2022-08-15,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54
3470,Needs Improvement,3,2023-05-06,1,2,3,2022-09-26,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96
3471,Fully Meets,4,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98
